Date: 2024-01-25 14:23:45,
#Pulse Number: 1,
#Voltage Pos: 80,
#Voltage Neg: -80,
Temperature: 23.2,
"#Pulse Length: 75,00",
#Transistor on time: 75,
#Rate: 200,
10.799999999999999,5.25
-0.3,-1.05
-0.75,-1.2
-0.6,-1.2
-0.75,-0.8999999999999999
-0.6,-1.05
-0.44999999999999996,-0.8999999999999999
-0.75,-0.8999999999999999
-0.6,-0.8999999999999999
-0.3,-0.8999999999999999
-0.75,-0.75
-0.75,-1.05
-0.6,-1.05
-0.75,-1.05
-0.75,-1.05
-0.6,-1.2
-1.05,-1.2
-0.8999999999999999,-1.2
-0.75,-1.2
-0.8999999999999999,-0.8999999999999999
-1.2,-1.2
-1.05,-1.2
-1.2,-1.2
-1.2,-1.3499999999999999
-1.05,-1.3499999999999999
-1.2,-1.2
-1.2,-1.3499999999999999
-0.6,-1.2
-1.2,-1.05
-1.2,-1.5
-1.2,-1.3499999999999999
-1.2,-1.3499999999999999
-1.2,-1.2
-1.2,-1.3499999999999999
-1.2,-1.2
-0.8999999999999999,-1.3499999999999999
-1.2,-1.05
-0.8999999999999999,-1.2
-1.05,-1.2
-0.8999999999999999,-1.2
-1.05,-1.2
-1.2,-1.2
-1.05,-1.2
-0.8999999999999999,-1.3499999999999999
-0.6,-1.2
-0.8999999999999999,-1.05
-1.2,-1.2
-0.75,-1.2
-1.2,-1.2
-1.2,-1.3499999999999999
-1.2,-1.2
-1.05,-1.2
-1.05,-1.2
-0.75,-1.2
-1.2,-0.8999999999999999
-1.2,-1.2
-1.2,-1.2
-0.75,-1.2
-0.8999999999999999,-1.2
-0.8999999999999999,-1.2
-0.8999999999999999,-1.2
-1.05,-1.2
-0.6,-1.05
-1.2,-0.8999999999999999
-0.8999999999999999,-1.2
-1.05,-1.2
-1.2,-1.2
-1.05,-1.2
-1.05,-1.2
-1.2,-1.2
-1.2,-1.2
-0.75,-1.2
-0.75,-1.05
-0.8999999999999999,-1.2
-0.75,-1.3499999999999999
-1.2,-1.3499999999999999
-0.8999999999999999,-1.2
-0.8999999999999999,-1.2
-1.2,-1.2
-1.05,-1.2
-0.75,-1.2
-0.8999999999999999,-1.05
-0.8999999999999999,-1.2
-0.75,-1.2
-0.8999999999999999,-1.2
-0.8999999999999999,-1.2
-1.05,-1.2
-1.05,-1.2
-1.2,-1.2
-0.6,-1.2
-1.2,-1.05
-1.05,-1.2
-1.2,-1.3499999999999999
-1.2,-1.3499999999999999
-0.8999999999999999,-1.3499999999999999
-1.05,-1.3499999999999999
-1.2,-1.2
-1.05,-1.2
-0.6,-1.2
-1.2,-1.05
-1.05,-1.2
-1.05,-1.3499999999999999
-1.2,-1.2
-1.2,-1.2
-1.2,-1.3499999999999999
-1.2,-1.2
-1.05,-1.2
-0.75,-1.2
-1.2,-1.05
-1.05,-1.2
-1.2,-1.3499999999999999
-0.8999999999999999,-1.2
-1.2,-1.3499999999999999
-1.05,-1.3499999999999999
-1.05,-1.2
-1.2,-1.3499999999999999
-0.75,-1.2
-1.2,-1.05
-1.2,-1.3499999999999999
-1.05,-1.2
-1.2,-1.3499999999999999
-1.2,-1.3499999999999999
-1.2,-1.2
-1.2,-1.3499999999999999
-1.2,-1.2
-0.6,-1.3499999999999999
-0.8999999999999999,-1.2
-1.2,-1.3499999999999999
-1.05,-1.2
-1.2,-1.3499999999999999
-1.2,-1.3499999999999999
-1.2,-1.2
-1.2,-1.2
-1.05,-1.2
-0.6,-1.2
-1.2,-1.05
-1.2,-1.2
-0.8999999999999999,-1.2
-0.8999999999999999,-1.3499999999999999
-1.2,-1.2
-1.2,-1.3499999999999999
-1.05,-1.2
-0.8999999999999999,-1.3499999999999999
-0.75,-1.3499999999999999
-1.2,-1.2
-1.05,-1.3499999999999999
-1.2,-1.3499999999999999
-1.2,-1.3499999999999999
-1.2,-1.3499999999999999
-1.05,-1.2
-1.2,-1.2
-1.2,-1.2
-0.6,-1.3499999999999999
-1.2,-1.3499999999999999
-1.2,-1.3499999999999999
-1.05,-1.2
-1.05,-1.2
-1.2,-1.3499999999999999
-1.2,-1.2
-0.8999999999999999,-1.2
-0.6,-1.2
-1.2,-1.05
-1.05,-1.2
-1.05,-1.2
-0.8999999999999999,-1.2
-1.2,-1.2
-0.75,-1.2
-1.2,-1.2
-0.8999999999999999,-1.2
-0.8999999999999999,-1.2
-0.8999999999999999,-1.2
-1.05,-1.2
-0.8999999999999999,-1.2
-1.05,-1.2
-0.8999999999999999,-1.3499999999999999
-1.2,-1.2
-1.05,-1.2
-1.2,-1.2
-0.75,-1.2
-1.2,-1.2
-0.8999999999999999,-1.2
-1.05,-1.2
-0.8999999999999999,-1.3499999999999999
-1.05,-1.3499999999999999
-0.8999999999999999,-1.2
-1.2,-1.2
-0.8999999999999999,-1.2
-0.8999999999999999,-1.2
-0.8999999999999999,-1.2
-1.2,-1.2
