Date: 2024-01-25 14:25:57,
#Pulse Number: 14,
#Voltage Pos: 80,
#Voltage Neg: -80,
Temperature: 23.4,
"#Pulse Length: 75,00",
#Transistor on time: 75,
#Rate: 200,
7.199999999999999,2.4
-4.2,-4.35
3.0,-3.75
48.6,36.3
67.8,64.5
72.6,72.75
72.6,75.3
75.89999999999999,75.6
75.6,75.75
76.05,76.2
76.05,76.35
76.2,76.2
76.35,76.2
76.2,76.35
76.2,76.2
76.2,76.05
76.05,76.2
76.05,76.05
76.2,76.2
76.05,75.89999999999999
76.2,76.05
76.2,76.05
76.2,75.89999999999999
76.2,75.89999999999999
76.05,76.2
76.05,76.2
76.35,76.2
76.2,76.5
76.2,76.2
76.2,76.35
76.2,76.2
76.2,76.2
76.2,76.35
76.2,76.2
76.35,76.35
76.35,76.35
76.2,76.64999999999999
76.5,76.2
76.2,76.35
76.2,76.35
76.2,76.35
76.2,76.35
76.2,76.35
76.5,76.35
76.64999999999999,76.35
76.35,76.5
76.64999999999999,76.35
76.64999999999999,76.35
76.5,76.5
76.64999999999999,76.5
76.64999999999999,76.5
76.64999999999999,76.35
76.35,76.2
76.64999999999999,76.5
76.64999999999999,76.8
76.35,76.5
76.35,76.5
76.2,76.5
76.5,76.5
76.64999999999999,76.5
76.5,76.5
76.2,76.35
76.5,76.5
76.5,76.64999999999999
76.64999999999999,76.35
76.5,76.35
76.64999999999999,76.5
76.2,76.35
76.5,76.35
76.35,76.5
76.2,76.35
76.35,76.35
76.2,76.5
76.35,76.2
76.64999999999999,76.35
76.5,76.5
76.2,76.35
76.2,76.35
76.64999999999999,76.5
76.2,76.5
76.8,76.35
76.64999999999999,76.64999999999999
76.35,76.35
76.5,76.2
76.35,76.5
76.2,76.35
76.64999999999999,76.35
76.35,76.64999999999999
76.64999999999999,76.5
76.64999999999999,76.5
76.64999999999999,76.8
76.2,76.64999999999999
76.64999999999999,76.5
76.2,76.5
76.35,76.64999999999999
76.35,76.5
76.5,76.64999999999999
76.5,76.5
76.8,76.5
76.64999999999999,76.5
76.5,76.35
76.35,76.5
76.35,76.5
76.5,76.35
76.35,76.5
76.5,76.5
76.5,76.35
76.8,76.5
76.35,76.64999999999999
76.35,76.35
76.2,76.5
76.5,76.5
76.2,76.35
76.35,76.35
76.2,76.35
76.5,76.35
76.64999999999999,76.5
76.2,76.64999999999999
76.35,76.5
76.35,76.5
76.2,76.35
76.64999999999999,76.35
76.35,76.5
76.5,76.5
76.35,76.5
76.8,76.5
76.35,76.64999999999999
76.35,76.5
76.5,76.5
76.5,76.64999999999999
76.35,76.35
76.35,76.5
76.5,76.35
76.5,76.5
76.8,76.5
76.5,76.8
76.5,76.5
76.35,76.5
76.35,76.35
76.64999999999999,76.5
76.5,76.5
76.64999999999999,76.35
76.2,76.5
76.8,76.5
76.2,76.64999999999999
76.64999999999999,76.35
76.35,76.35
76.5,76.35
76.35,76.35
76.35,76.5
76.35,76.5
76.2,76.5
76.5,76.5
76.5,76.64999999999999
76.35,76.5
76.64999999999999,76.5
76.05,76.5
76.64999999999999,76.35
76.5,76.35
76.2,76.5
76.8,76.5
76.64999999999999,76.5
76.64999999999999,76.5
76.2,76.5
76.64999999999999,76.35
76.2,76.5
76.64999999999999,76.35
76.2,76.5
76.5,76.5
76.5,76.5
76.64999999999999,76.2
76.2,76.64999999999999
76.64999999999999,76.2
76.2,76.35
76.64999999999999,76.5
76.5,76.35
76.5,76.35
76.2,76.5
76.5,76.35
76.5,76.5
76.64999999999999,76.64999999999999
76.2,76.5
76.5,76.5
76.2,76.5
76.64999999999999,76.35
76.2,76.5
76.35,76.35
76.35,76.5
76.5,76.5
76.2,76.5
76.35,76.5
76.35,76.5
76.35,76.5
76.2,76.5
76.5,76.35
76.2,76.5
76.5,76.5
76.5,76.64999999999999
76.64999999999999,76.64999999999999
76.35,76.5
76.64999999999999,76.5
76.2,76.5
76.8,76.5
76.2,76.8
76.8,76.5
76.5,76.5
76.64999999999999,76.5
76.2,76.64999999999999
76.64999999999999,76.64999999999999
76.2,76.5
76.64999999999999,76.5
76.35,76.35
76.35,76.64999999999999
76.2,76.5
76.64999999999999,76.35
76.2,76.5
76.64999999999999,76.5
76.35,76.2
76.64999999999999,76.35
76.05,76.35
76.64999999999999,76.35
76.35,76.5
76.5,76.5
76.35,76.5
76.5,76.35
76.2,76.5
76.5,76.35
76.2,76.5
76.64999999999999,76.35
76.35,76.35
76.5,76.35
76.2,76.5
76.64999999999999,76.5
76.2,76.64999999999999
76.64999999999999,76.35
76.2,76.5
76.64999999999999,76.5
76.05,76.5
76.8,76.35
76.2,76.5
76.64999999999999,76.5
76.35,76.5
76.5,76.35
76.2,76.5
76.64999999999999,76.35
76.35,76.5
76.64999999999999,76.5
76.35,76.5
76.5,76.64999999999999
76.2,76.5
76.64999999999999,76.5
76.2,76.35
76.64999999999999,76.35
76.35,76.2
76.8,76.5
76.35,76.5
76.8,76.35
76.2,76.64999999999999
76.64999999999999,76.35
76.2,76.5
76.5,76.35
76.2,76.5
76.64999999999999,76.2
76.2,76.5
76.35,76.5
76.35,76.35
76.5,76.5
76.2,76.35
76.64999999999999,76.35
76.2,76.5
76.2,76.35
76.2,76.5
76.5,76.5
76.05,76.64999999999999
76.64999999999999,76.35
76.2,76.5
76.5,76.5
76.2,76.5
76.5,76.5
76.2,76.35
76.64999999999999,76.2
76.64999999999999,76.35
76.2,76.35
76.5,76.35
76.5,76.5
76.5,76.5
76.35,76.35
76.64999999999999,76.5
76.2,76.35
76.2,76.2
76.64999999999999,76.5
76.35,76.5
76.35,76.35
76.64999999999999,76.5
76.5,76.5
76.35,76.5
76.64999999999999,76.5
76.2,76.64999999999999
76.35,76.5
76.35,76.35
76.35,76.5
76.5,76.35
76.5,76.35
76.35,76.5
76.2,76.5
76.64999999999999,76.5
76.2,76.8
76.2,76.2
76.64999999999999,76.35
76.35,76.64999999999999
76.2,76.35
76.64999999999999,76.5
76.35,76.35
76.2,76.2
76.64999999999999,76.35
76.5,76.8
76.2,76.35
76.5,76.35
76.5,76.5
76.35,76.35
76.35,76.35
76.2,76.5
76.2,76.5
76.8,76.2
76.35,76.64999999999999
76.2,76.2
76.35,76.5
76.35,76.35
76.2,76.2
76.2,76.35
76.2,76.5
76.2,76.35
76.64999999999999,76.5
76.2,76.64999999999999
76.2,76.5
76.64999999999999,76.2
76.2,76.5
76.35,76.35
76.35,76.35
76.35,76.5
76.2,76.5
76.64999999999999,76.35
76.2,76.5
76.2,76.35
76.35,76.5
76.35,76.5
76.35,76.35
76.2,76.35
76.35,76.5
76.2,76.35
76.64999999999999,76.35
76.2,76.8
76.2,76.5
76.35,76.5
76.64999999999999,76.5
76.35,76.35
76.35,76.5
76.35,76.5
76.2,76.35
76.5,76.5
76.35,76.2
76.35,76.5
76.35,76.35
76.8,76.35
76.05,76.5
76.35,76.5
76.2,76.5
76.5,76.5
76.2,76.5
76.35,76.2
76.2,76.5
76.35,76.5
76.64999999999999,76.35
76.2,76.35
76.2,76.35
76.35,76.2
76.64999999999999,76.5
76.2,76.5
76.2,76.2
76.5,76.35
76.05,76.35
76.5,76.35
76.2,76.35
75.6,76.2
75.0,75.45
75.0,75.14999999999999
72.6,75.0
72.6,74.7
72.6,74.25
72.6,74.1
72.6,73.8
72.6,73.5
72.6,73.2
72.6,72.89999999999999
18.0,53.4
-47.4,-31.349999999999998
-67.2,-63.0
-73.8,-72.45
-76.2,-75.75
-76.2,-76.8
-76.2,-77.7
-76.35,-78.14999999999999
-76.64999999999999,-78.0
-76.8,-78.3
-77.1,-78.3
-77.25,-78.14999999999999
-76.95,-78.14999999999999
-77.39999999999999,-78.14999999999999
-77.39999999999999,-78.3
-77.39999999999999,-78.45
-77.39999999999999,-78.3
-77.39999999999999,-78.6
-77.55,-78.6
-77.39999999999999,-78.6
-77.55,-78.6
-77.39999999999999,-78.75
-77.7,-78.6
-78.0,-78.89999999999999
-78.0,-78.75
-77.7,-78.89999999999999
-78.0,-78.89999999999999
-78.0,-79.05
-78.0,-78.89999999999999
-78.0,-79.05
-77.55,-79.05
-78.0,-78.89999999999999
-78.0,-78.89999999999999
-78.0,-79.05
-78.0,-78.89999999999999
-78.14999999999999,-79.05
-78.0,-79.2
-78.0,-79.2
-78.14999999999999,-79.2
-77.7,-79.2
-78.14999999999999,-79.05
-78.0,-79.05
-78.0,-79.2
-78.14999999999999,-79.2
-78.0,-79.2
-78.14999999999999,-79.35
