Date: 2024-01-25 13:49:10,
#Pulse Number: 49,
#Voltage Pos: 80,
#Voltage Neg: -80,
Temperature: 23.3,
"#Pulse Length: 75,00",
#Transistor on time: 75,
#Rate: 200,
9.299999999999999,4.35
-1.7999999999999998,-2.1
4.5,-1.65
51.0,37.65
67.8,65.25
72.6,73.5
75.0,75.89999999999999
76.2,76.05
75.89999999999999,76.35
76.35,76.64999999999999
76.2,76.8
76.2,76.35
76.2,76.35
76.2,76.5
76.2,76.5
76.05,76.2
76.05,76.2
75.75,76.2
76.2,76.2
76.2,76.05
76.2,76.05
76.05,76.05
75.6,76.05
76.05,76.05
76.05,76.2
75.89999999999999,76.05
76.2,76.05
76.05,76.5
76.05,76.05
76.2,76.2
76.2,76.35
76.05,76.2
76.2,76.05
76.2,76.2
76.2,76.35
76.64999999999999,76.64999999999999
76.5,76.35
76.2,76.35
76.2,76.35
76.5,76.5
76.2,76.35
76.5,76.5
76.5,76.5
76.64999999999999,76.5
76.5,76.64999999999999
76.2,76.35
76.64999999999999,76.35
76.2,76.35
76.2,76.5
76.2,76.64999999999999
76.64999999999999,76.35
76.64999999999999,76.5
76.2,76.64999999999999
76.64999999999999,76.35
76.5,76.5
76.2,76.35
76.5,76.35
76.64999999999999,76.5
76.05,76.5
76.64999999999999,76.35
76.8,76.5
76.8,76.64999999999999
76.5,76.35
76.64999999999999,76.35
76.64999999999999,76.35
76.05,76.5
76.64999999999999,76.35
76.64999999999999,76.35
76.2,76.5
76.8,76.35
76.2,76.5
76.64999999999999,76.35
76.2,76.5
76.2,76.35
76.2,76.5
76.64999999999999,76.64999999999999
76.64999999999999,76.35
76.64999999999999,76.35
76.2,76.64999999999999
76.64999999999999,76.5
76.5,76.35
76.5,76.5
76.2,76.64999999999999
76.64999999999999,76.5
76.35,76.35
76.2,76.35
76.2,76.35
76.2,76.64999999999999
76.2,76.35
76.64999999999999,76.35
76.2,76.35
76.64999999999999,76.35
76.35,76.35
76.2,76.35
76.8,76.5
76.35,76.5
76.5,76.5
76.35,76.35
76.5,76.64999999999999
76.35,76.35
76.64999999999999,76.5
76.2,76.5
76.5,76.5
76.8,76.5
76.2,76.64999999999999
76.64999999999999,76.5
76.2,76.64999999999999
76.5,76.5
76.2,76.64999999999999
76.2,76.35
76.2,76.5
76.2,76.35
76.2,76.5
76.5,76.64999999999999
76.35,76.35
76.2,76.35
76.64999999999999,76.5
76.35,76.35
76.5,76.35
76.64999999999999,76.64999999999999
76.64999999999999,76.35
76.8,76.5
76.35,76.64999999999999
76.35,76.35
76.5,76.5
76.2,76.5
76.2,76.35
76.35,76.35
76.2,76.35
76.5,76.5
76.8,76.35
76.05,76.8
76.2,76.35
76.5,76.64999999999999
76.64999999999999,76.35
76.5,76.5
76.64999999999999,76.35
76.2,76.5
76.64999999999999,76.5
76.8,76.5
76.2,76.95
76.35,76.35
76.35,76.5
76.35,76.35
76.2,76.5
76.5,76.35
76.05,76.5
76.2,76.35
76.8,76.5
76.64999999999999,76.8
76.64999999999999,76.2
76.64999999999999,76.35
76.5,76.35
76.2,76.5
76.2,76.5
76.2,76.5
76.35,76.64999999999999
76.64999999999999,76.64999999999999
76.8,76.8
76.2,76.35
76.5,76.5
76.2,76.5
76.5,76.35
76.2,76.35
76.2,76.35
76.2,76.35
76.8,76.5
76.5,76.64999999999999
76.5,76.35
76.35,76.64999999999999
76.5,76.35
76.35,76.35
76.5,76.35
76.5,76.5
76.5,76.5
76.64999999999999,76.35
76.35,76.64999999999999
76.5,76.5
76.35,76.35
76.5,76.35
76.2,76.5
76.5,76.35
76.2,76.5
76.2,76.35
76.8,76.5
76.5,76.8
76.35,76.35
76.35,76.5
76.5,76.35
76.2,76.5
76.5,76.35
76.35,76.5
76.35,76.35
76.64999999999999,76.35
76.35,76.8
76.64999999999999,76.5
76.35,76.5
76.5,76.5
76.2,76.64999999999999
76.5,76.5
76.35,76.5
76.64999999999999,76.35
76.8,76.35
76.64999999999999,76.8
76.35,76.35
76.35,76.64999999999999
76.5,76.35
76.2,76.35
76.2,76.35
76.35,76.35
76.2,76.5
76.8,76.35
76.2,76.8
76.64999999999999,76.5
76.2,76.35
76.5,76.5
76.35,76.35
76.35,76.35
76.35,76.35
76.35,76.35
76.64999999999999,76.5
76.2,76.64999999999999
76.5,76.35
76.35,76.5
76.35,76.35
76.2,76.35
76.2,76.35
76.64999999999999,76.35
76.64999999999999,76.35
76.5,76.5
76.5,76.8
76.2,76.35
76.5,76.35
76.2,76.5
76.5,76.35
76.2,76.5
76.5,76.35
76.5,76.64999999999999
76.64999999999999,76.35
76.2,76.64999999999999
76.5,76.35
76.2,76.5
76.35,76.64999999999999
76.35,76.5
76.64999999999999,76.5
76.35,76.64999999999999
76.5,76.64999999999999
76.64999999999999,76.35
76.5,76.8
76.35,76.35
76.5,76.5
76.35,76.5
76.64999999999999,76.5
76.35,76.64999999999999
76.35,76.64999999999999
76.2,76.64999999999999
76.64999999999999,76.5
76.2,76.5
76.5,76.35
76.35,76.35
76.35,76.5
76.35,76.5
76.5,76.35
76.2,76.35
76.5,76.5
76.35,76.64999999999999
76.2,76.35
76.2,76.35
76.64999999999999,76.35
76.35,76.35
76.64999999999999,76.5
76.2,76.5
76.64999999999999,76.35
76.2,76.5
76.64999999999999,76.35
76.2,76.5
76.5,76.35
76.2,76.5
76.35,76.35
76.35,76.5
76.35,76.64999999999999
76.2,76.35
76.5,76.35
76.2,76.5
76.64999999999999,76.35
76.35,76.35
76.5,76.5
76.2,76.64999999999999
76.64999999999999,76.2
76.2,76.5
76.35,76.35
76.2,76.35
76.5,76.35
76.2,76.5
76.5,76.2
76.2,76.5
76.35,76.5
76.35,76.35
76.35,76.5
76.2,76.5
76.5,76.5
76.2,76.5
76.5,76.5
76.2,76.35
76.5,76.35
76.2,76.35
76.64999999999999,76.5
76.2,76.5
76.5,76.35
76.2,76.35
76.5,76.35
76.2,76.5
76.35,76.35
76.2,76.35
76.5,76.5
76.05,76.35
76.35,76.5
76.2,76.5
76.5,76.35
76.2,76.5
76.64999999999999,76.5
76.2,76.35
76.5,76.35
76.2,76.35
76.35,76.35
76.2,76.5
76.5,76.35
76.2,76.5
76.64999999999999,76.35
76.2,76.64999999999999
76.35,76.35
76.5,76.35
76.5,76.64999999999999
76.35,76.5
76.35,76.5
76.2,76.35
76.2,76.35
76.5,76.35
76.5,76.64999999999999
76.35,76.35
76.2,76.35
76.2,76.35
76.64999999999999,76.35
76.2,76.35
76.5,76.35
76.2,76.35
76.64999999999999,76.5
76.2,76.5
76.2,76.35
76.35,76.35
76.35,76.35
76.64999999999999,76.5
76.2,76.5
76.2,76.35
76.5,76.35
76.5,76.35
76.2,76.64999999999999
76.35,76.35
76.2,76.5
76.2,76.35
76.64999999999999,76.35
76.2,76.5
76.2,76.35
76.5,76.35
76.64999999999999,76.5
76.2,76.5
76.5,76.35
76.35,76.5
76.35,76.35
76.64999999999999,76.35
76.35,76.5
76.05,76.35
76.2,76.35
76.64999999999999,76.35
76.64999999999999,76.64999999999999
76.64999999999999,76.35
76.2,76.5
76.64999999999999,76.35
76.5,76.2
76.35,76.5
76.35,76.35
72.6,75.3
72.6,73.2
72.3,72.45
71.1,71.39999999999999
70.2,70.64999999999999
67.8,69.3
67.8,68.55
67.8,68.1
67.2,67.5
67.05,66.89999999999999
66.3,66.6
9.6,44.55
-52.199999999999996,-36.15
-69.0,-65.55
-76.2,-73.35
-76.2,-75.6
-76.2,-76.5
-76.2,-77.39999999999999
-76.2,-78.14999999999999
-76.64999999999999,-78.0
-76.8,-78.3
-76.95,-78.3
-76.8,-78.14999999999999
-77.1,-78.45
-76.95,-78.3
-76.95,-78.3
-77.1,-78.6
-76.95,-78.6
-77.1,-78.3
-77.39999999999999,-78.6
-77.25,-78.6
-77.1,-78.45
-77.39999999999999,-78.75
-77.39999999999999,-78.6
-77.39999999999999,-78.75
-77.55,-78.89999999999999
