Date: 2024-01-25 13:41:34,
#Pulse Number: 4,
#Voltage Pos: 80,
#Voltage Neg: -80,
Temperature: 23.3,
"#Pulse Length: 75,00",
#Transistor on time: 75,
#Rate: 200,
6.0,0.8999999999999999
-4.8,-5.55
4.6499999999999995,-4.8
51.6,38.699999999999996
67.8,65.25
72.6,73.05
75.0,75.3
75.6,75.89999999999999
75.6,76.5
76.2,76.2
76.64999999999999,76.35
76.2,76.5
76.2,76.35
76.64999999999999,76.5
76.35,76.5
76.2,76.35
76.64999999999999,76.5
76.2,76.5
76.2,76.35
76.2,76.5
76.35,76.5
76.05,76.35
76.05,76.35
76.05,76.35
76.2,76.35
76.5,76.35
76.05,76.8
76.2,76.35
76.05,76.35
76.2,76.5
76.05,76.35
76.2,76.35
76.2,76.35
76.05,76.35
76.64999999999999,76.2
76.2,76.8
76.64999999999999,76.35
76.5,76.64999999999999
76.2,76.64999999999999
76.5,76.64999999999999
76.2,76.64999999999999
76.35,76.5
76.2,76.64999999999999
76.8,76.64999999999999
76.64999999999999,76.95
76.64999999999999,76.8
76.35,76.64999999999999
76.2,76.64999999999999
76.64999999999999,76.64999999999999
76.8,76.64999999999999
76.8,76.64999999999999
76.64999999999999,76.64999999999999
76.64999999999999,76.64999999999999
76.64999999999999,76.95
76.64999999999999,76.64999999999999
76.5,76.64999999999999
76.5,76.5
76.2,76.8
76.64999999999999,76.5
76.64999999999999,76.64999999999999
76.5,76.8
76.5,76.8
76.2,76.8
76.5,76.64999999999999
76.64999999999999,76.64999999999999
76.64999999999999,76.64999999999999
76.8,76.64999999999999
76.5,76.64999999999999
76.64999999999999,76.64999999999999
76.64999999999999,76.64999999999999
76.5,76.8
76.64999999999999,76.8
76.5,76.8
76.35,76.64999999999999
76.64999999999999,76.8
76.35,76.64999999999999
76.5,76.64999999999999
76.64999999999999,76.64999999999999
76.8,76.64999999999999
76.8,76.8
76.64999999999999,76.95
76.64999999999999,76.64999999999999
76.5,76.64999999999999
76.2,76.64999999999999
76.5,76.64999999999999
76.5,76.64999999999999
76.5,76.95
76.64999999999999,76.8
76.8,76.8
76.64999999999999,76.95
76.35,76.8
76.5,76.64999999999999
76.5,76.8
76.64999999999999,76.64999999999999
76.64999999999999,76.8
76.5,76.8
76.64999999999999,76.64999999999999
76.64999999999999,76.64999999999999
76.5,76.95
76.5,76.8
76.64999999999999,76.8
76.64999999999999,76.64999999999999
76.35,76.8
76.5,76.64999999999999
76.64999999999999,76.8
76.5,76.64999999999999
76.8,76.64999999999999
76.5,76.95
76.5,76.64999999999999
76.5,76.64999999999999
76.64999999999999,76.64999999999999
76.5,76.64999999999999
76.35,76.64999999999999
76.2,76.64999999999999
76.35,76.64999999999999
76.64999999999999,76.64999999999999
76.5,76.8
76.5,76.64999999999999
76.5,76.64999999999999
76.35,76.8
76.35,76.64999999999999
76.35,76.8
76.35,76.64999999999999
76.35,76.64999999999999
76.64999999999999,76.8
76.35,76.95
76.2,76.64999999999999
76.64999999999999,76.64999999999999
76.35,76.8
76.5,76.64999999999999
76.5,76.64999999999999
76.5,76.95
76.5,76.64999999999999
76.8,76.8
76.5,76.95
76.64999999999999,76.8
76.5,76.95
76.64999999999999,76.8
76.5,76.95
76.64999999999999,76.64999999999999
76.5,76.95
76.64999999999999,76.64999999999999
76.8,76.95
76.64999999999999,76.95
76.64999999999999,76.8
76.35,76.64999999999999
76.2,76.64999999999999
76.64999999999999,76.64999999999999
76.64999999999999,76.8
76.5,76.64999999999999
76.8,76.8
76.64999999999999,76.95
76.5,76.8
76.5,76.64999999999999
76.8,76.8
76.2,76.5
76.8,76.64999999999999
76.5,76.64999999999999
76.64999999999999,76.64999999999999
76.8,76.64999999999999
76.64999999999999,77.1
76.5,76.64999999999999
76.64999999999999,76.64999999999999
76.64999999999999,76.8
76.64999999999999,76.8
76.64999999999999,76.8
76.64999999999999,76.8
76.5,76.8
76.8,76.64999999999999
76.64999999999999,76.95
76.8,76.8
76.64999999999999,76.64999999999999
76.64999999999999,76.8
76.64999999999999,76.8
76.64999999999999,76.8
76.64999999999999,76.8
76.64999999999999,76.8
76.64999999999999,76.8
76.64999999999999,76.95
76.5,76.64999999999999
76.64999999999999,76.8
76.35,76.64999999999999
76.8,76.64999999999999
76.5,76.64999999999999
76.5,76.8
76.5,76.64999999999999
76.8,76.8
76.64999999999999,76.8
76.64999999999999,76.64999999999999
76.5,76.64999999999999
76.64999999999999,76.8
76.5,76.64999999999999
76.64999999999999,76.8
76.2,76.64999999999999
76.8,76.64999999999999
76.64999999999999,76.8
76.64999999999999,76.8
76.5,76.8
76.64999999999999,76.8
76.35,76.8
76.64999999999999,76.8
76.5,76.8
76.5,76.64999999999999
