Date: 2024-01-25 14:55:10,
#Pulse Number: 5,
#Voltage Pos:  80,
#Voltage Neg: -80,
Temperature: 23.4,
"#Pulse Length: 75,00",
#Transistor on time: 75,
#Rate: 200,
5.25,2.55
-4.8,-4.05
3.0,-3.9
48.6,35.699999999999996
67.8,64.8
72.6,73.05
75.6,75.45
75.6,76.05
76.05,76.2
76.35,76.2
76.2,76.64999999999999
76.2,76.35
76.05,76.35
76.2,76.2
76.35,76.5
76.2,76.2
76.2,76.2
76.2,76.2
76.5,76.2
76.2,76.5
76.05,76.2
76.05,76.05
75.89999999999999,76.2
76.2,76.2
76.2,76.2
76.2,76.2
76.05,76.2
76.05,76.2
76.05,76.35
76.35,76.2
76.2,76.2
76.35,76.2
76.2,76.05
76.35,76.2
76.2,76.35
76.2,76.2
76.5,76.2
76.2,76.8
76.5,76.2
76.5,76.35
76.5,76.35
76.05,76.35
76.2,76.35
76.5,76.5
76.2,76.5
76.8,76.5
76.64999999999999,76.64999999999999
76.35,76.35
76.2,76.5
76.2,76.35
76.5,76.5
76.2,76.5
76.2,76.35
76.5,76.35
76.64999999999999,76.35
76.35,76.64999999999999
76.2,76.35
76.5,76.35
76.2,76.5
76.2,76.5
76.2,76.35
76.35,76.5
76.2,76.5
76.8,76.35
76.2,76.64999999999999
76.35,76.5
76.2,76.5
76.5,76.35
76.2,76.64999999999999
76.5,76.5
76.5,76.5
76.35,76.5
76.64999999999999,76.35
76.2,76.8
76.35,76.5
76.35,76.5
76.35,76.5
76.2,76.35
76.2,76.5
76.5,76.5
76.35,76.64999999999999
76.64999999999999,76.5
76.2,76.8
76.5,76.5
76.5,76.64999999999999
76.5,76.5
76.2,76.5
76.5,76.8
76.5,76.64999999999999
76.35,76.5
76.64999999999999,76.64999999999999
76.35,76.8
76.2,76.5
76.64999999999999,76.5
76.35,76.5
76.2,76.5
76.5,76.5
76.35,76.64999999999999
76.2,76.5
76.64999999999999,76.5
76.2,76.8
76.35,76.35
76.2,76.5
76.35,76.35
76.35,76.5
76.2,76.5
76.2,76.5
76.5,76.5
76.5,76.5
76.2,76.95
76.2,76.5
76.35,76.5
76.35,76.5
76.2,76.5
76.5,76.5
76.2,76.5
76.35,76.5
76.64999999999999,76.35
76.2,76.64999999999999
76.8,76.35
76.5,76.5
76.2,76.5
76.64999999999999,76.5
76.2,76.5
76.64999999999999,76.5
76.5,76.5
76.64999999999999,76.5
76.2,76.64999999999999
76.64999999999999,76.5
76.2,76.64999999999999
76.5,76.5
76.2,76.5
76.5,76.35
76.2,76.5
76.64999999999999,76.5
76.64999999999999,76.8
76.5,76.64999999999999
76.35,76.35
76.5,76.5
76.2,76.5
76.35,76.64999999999999
76.2,76.64999999999999
76.5,76.5
76.2,76.5
76.64999999999999,76.5
76.2,76.8
76.5,76.5
76.2,76.5
76.35,76.5
76.35,76.5
76.35,76.64999999999999
76.5,76.35
76.5,76.5
76.35,76.5
76.2,76.5
76.35,76.5
76.2,76.5
76.35,76.5
76.64999999999999,76.2
76.2,76.64999999999999
76.5,76.5
76.2,76.5
76.5,76.5
76.2,76.64999999999999
76.35,76.2
76.2,76.35
76.35,76.35
76.35,76.35
76.5,76.64999999999999
76.2,76.5
76.64999999999999,76.2
76.35,76.5
76.2,76.64999999999999
76.35,76.5
76.5,76.5
76.35,76.5
76.5,76.35
76.5,76.35
76.5,76.5
76.2,76.5
76.64999999999999,76.5
76.2,76.5
76.64999999999999,76.64999999999999
76.2,76.5
76.35,76.35
76.35,76.5
76.2,76.5
76.35,76.5
76.5,76.5
76.2,76.5
76.2,76.35
76.35,76.2
76.5,76.5
76.2,76.5
76.64999999999999,76.35
76.2,76.5
76.35,76.2
76.2,76.5
76.5,76.5
76.2,76.5
76.35,76.35
76.2,76.5
76.35,76.5
76.5,76.35
76.5,76.5
76.2,76.5
76.64999999999999,76.5
76.2,76.64999999999999
76.5,76.5
76.2,76.5
76.64999999999999,76.5
76.05,76.5
76.64999999999999,76.35
76.2,76.64999999999999
76.5,76.5
76.2,76.35
76.64999999999999,76.5
76.2,76.5
76.5,76.35
76.2,76.5
76.5,76.35
76.35,76.35
76.2,76.5
76.35,76.5
76.2,76.5
76.35,76.64999999999999
76.2,76.35
76.35,76.5
76.64999999999999,76.35
76.35,76.5
76.64999999999999,76.35
76.2,76.64999999999999
76.5,76.5
76.2,76.5
76.35,76.5
76.05,76.5
76.5,76.2
76.2,76.5
76.35,76.5
76.35,76.5
76.35,76.5
76.2,76.5
76.5,76.5
76.64999999999999,76.35
76.2,76.5
76.5,76.64999999999999
76.35,76.5
76.2,76.35
76.5,76.35
76.5,76.5
76.2,76.64999999999999
76.64999999999999,76.35
76.8,76.5
76.2,76.64999999999999
76.5,76.35
76.64999999999999,76.5
76.05,76.5
76.64999999999999,76.35
76.8,76.5
76.2,76.5
76.5,76.35
76.8,76.5
76.2,76.64999999999999
76.5,76.2
76.8,76.5
76.35,76.35
76.5,76.35
76.64999999999999,76.5
76.2,76.5
76.5,76.5
76.95,76.5
76.2,76.64999999999999
76.64999999999999,76.2
76.64999999999999,76.5
76.2,76.5
76.64999999999999,76.35
76.64999999999999,76.5
76.2,76.5
76.5,76.35
76.8,76.5
76.2,76.64999999999999
76.64999999999999,76.2
76.64999999999999,76.35
76.2,76.5
76.64999999999999,76.35
76.64999999999999,76.5
76.2,76.35
76.5,76.2
76.95,76.5
76.2,76.64999999999999
76.64999999999999,76.35
76.8,76.35
76.5,76.35
76.5,76.5
76.64999999999999,76.5
76.2,76.35
76.64999999999999,76.35
76.95,76.5
76.2,76.64999999999999
76.5,76.35
76.64999999999999,76.5
76.2,76.64999999999999
76.5,76.35
76.64999999999999,76.5
76.05,76.5
76.5,76.35
77.1,76.5
76.2,76.8
76.64999999999999,76.5
76.8,76.5
76.2,76.5
76.5,76.5
76.64999999999999,76.5
76.2,76.5
76.64999999999999,76.35
76.8,76.35
76.35,76.8
76.35,76.5
76.8,76.5
76.5,76.5
76.5,76.35
76.64999999999999,76.35
76.2,76.5
76.5,76.35
77.1,76.35
76.2,76.5
76.5,76.35
76.8,76.35
76.2,76.5
76.5,76.5
76.64999999999999,76.5
76.2,76.5
76.64999999999999,76.35
76.95,76.5
76.2,76.8
76.64999999999999,76.2
76.64999999999999,76.5
76.2,76.5
76.64999999999999,76.35
76.64999999999999,76.64999999999999
76.2,76.5
76.8,76.5
76.8,76.5
76.2,76.64999999999999
76.5,76.35
76.64999999999999,76.5
76.2,76.5
76.64999999999999,76.35
76.64999999999999,76.35
76.2,76.35
76.5,76.5
76.8,76.5
76.2,76.5
76.5,76.35
76.64999999999999,76.5
76.2,76.5
76.5,76.35
76.64999999999999,76.5
76.2,76.35
76.5,76.5
76.64999999999999,76.5
76.2,76.5
76.64999999999999,76.2
76.64999999999999,76.5
76.2,76.5
76.64999999999999,76.2
76.8,76.5
76.2,76.5
76.8,76.5
76.64999999999999,76.5
76.2,76.5
76.64999999999999,76.2
76.8,76.5
76.64999999999999,76.5
76.64999999999999,76.35
76.64999999999999,76.5
76.05,76.5
76.2,76.5
76.5,76.2
76.64999999999999,76.5
76.64999999999999,76.2
76.35,76.5
76.64999999999999,76.5
76.64999999999999,76.35
76.5,76.5
76.2,76.5
75.6,75.89999999999999
75.0,75.14999999999999
72.6,74.85
72.6,74.25
72.6,74.1
72.6,73.35
72.6,73.2
72.6,72.89999999999999
72.6,72.6
72.0,72.0
71.85,71.85
15.0,52.8
-48.0,-32.699999999999996
-68.55,-64.05
-73.35,-73.95
-76.2,-76.5
-76.2,-77.7
-76.35,-78.0
-76.8,-78.0
-76.8,-78.14999999999999
-76.95,-78.14999999999999
-76.95,-78.14999999999999
-76.95,-78.14999999999999
-76.8,-78.3
-77.1,-78.14999999999999
-77.1,-78.3
-76.95,-78.45
-77.39999999999999,-78.45
-77.39999999999999,-78.45
-77.39999999999999,-78.6
-77.39999999999999,-78.6
-77.55,-78.6
-77.25,-78.75
-77.55,-78.6
-77.55,-78.75
-77.39999999999999,-78.75
-77.7,-78.75
-77.7,-78.89999999999999
-77.85,-79.05
-77.7,-78.89999999999999
-77.55,-78.89999999999999
-77.55,-79.05
-77.7,-78.89999999999999
-77.85,-78.89999999999999
-77.7,-79.05
-77.85,-78.89999999999999
-78.0,-79.05
-78.0,-78.89999999999999
-78.0,-79.2
-78.0,-79.2
-77.7,-79.2
-78.0,-78.89999999999999
-78.0,-79.2
-78.0,-79.05
-78.0,-79.2
-78.0,-79.2
-77.85,-79.2
-78.0,-79.2
-78.0,-79.05
-77.7,-79.05
-78.14999999999999,-79.05
-78.0,-79.2
-78.0,-79.2
-78.14999999999999,-79.2
-78.0,-79.2
-78.14999999999999,-79.35
-78.0,-79.2
-78.14999999999999,-79.2
-77.85,-79.35
-78.0,-79.05
-78.14999999999999,-79.2
-78.0,-79.2
-78.0,-79.35
-78.6,-79.2
-78.14999999999999,-79.2
-78.0,-79.35
-78.14999999999999,-79.2
-77.7,-79.35
-78.14999999999999,-79.05
-78.0,-79.2
-78.0,-79.2
-78.14999999999999,-79.2
-78.0,-79.2
-78.0,-79.35
-78.14999999999999,-79.2
-78.14999999999999,-79.35
-78.0,-79.05
-78.3,-79.2
-78.0,-79.2
-78.3,-79.2
-78.14999999999999,-79.35
-78.14999999999999,-79.2
-78.0,-79.35
-78.14999999999999,-79.2
-78.0,-79.2
-78.3,-79.2
-78.0,-79.2
-78.0,-79.2
-78.14999999999999,-79.2
-78.14999999999999,-79.05
-78.0,-79.2
-78.14999999999999,-79.2
