Date: 2024-01-25 14:56:00,
#Pulse Number: 10,
#Voltage Pos:  80,
#Voltage Neg: -80,
Temperature: 23.3,
"#Pulse Length: 75,00",
#Transistor on time: 75,
#Rate: 200,
8.1,2.4
-4.2,-3.75
5.3999999999999995,-3.3
52.8,40.05
67.8,65.7
72.6,73.5
75.45,75.6
76.64999999999999,75.75
75.89999999999999,76.64999999999999
76.2,76.35
76.5,76.2
76.64999999999999,76.2
76.05,76.35
76.2,76.2
76.05,76.35
76.2,76.2
76.2,76.2
76.05,76.05
76.05,76.05
76.05,76.05
76.05,76.05
76.05,76.05
75.89999999999999,76.05
75.6,75.89999999999999
76.2,76.2
76.2,76.05
76.2,76.2
76.2,76.2
75.89999999999999,76.2
76.2,76.2
76.2,76.2
76.5,76.2
76.2,76.5
76.2,76.05
76.2,76.2
76.2,76.2
76.5,76.2
76.5,76.35
76.35,76.35
76.2,76.5
76.8,76.5
76.35,76.64999999999999
76.5,76.35
76.64999999999999,76.35
76.64999999999999,76.5
76.64999999999999,76.5
76.2,76.64999999999999
76.5,76.5
76.64999999999999,76.64999999999999
76.2,76.64999999999999
76.64999999999999,76.35
76.64999999999999,76.5
76.35,76.35
76.5,76.5
76.64999999999999,76.5
76.64999999999999,76.5
76.5,76.35
76.64999999999999,76.5
76.64999999999999,76.64999999999999
76.2,76.35
76.64999999999999,76.35
76.2,76.35
76.35,76.35
76.35,76.35
76.2,76.2
76.5,76.5
76.35,76.35
76.05,76.8
76.2,76.2
76.5,76.35
76.5,76.64999999999999
76.2,76.5
76.35,76.5
76.2,76.5
76.2,76.35
76.8,76.35
76.5,76.64999999999999
76.2,76.35
76.35,76.35
76.35,76.64999999999999
76.2,76.35
76.5,76.5
76.5,76.5
76.5,76.5
76.8,76.35
76.35,76.8
76.2,76.5
76.5,76.5
76.35,76.5
76.2,76.35
76.64999999999999,76.64999999999999
76.35,76.5
76.2,76.64999999999999
76.8,76.5
76.5,76.8
76.5,76.64999999999999
76.5,76.5
76.5,76.64999999999999
76.2,76.64999999999999
76.64999999999999,76.35
76.5,76.5
76.2,76.5
76.8,76.5
76.2,76.8
76.2,76.5
76.5,76.35
76.35,76.5
76.2,76.35
76.64999999999999,76.35
76.2,76.35
76.5,76.5
76.64999999999999,76.5
76.2,76.8
76.2,76.35
76.5,76.5
76.35,76.5
76.2,76.35
76.5,76.35
76.2,76.5
76.5,76.35
76.64999999999999,76.5
76.2,76.8
76.2,76.5
76.5,76.5
76.35,76.64999999999999
76.35,76.35
76.5,76.35
76.5,76.5
76.2,76.35
76.64999999999999,76.5
76.5,76.8
76.2,76.5
76.5,76.5
76.5,76.5
76.35,76.35
76.5,76.5
76.2,76.5
76.2,76.5
76.8,76.5
76.2,76.8
76.2,76.5
76.64999999999999,76.5
76.35,76.64999999999999
76.35,76.5
76.5,76.35
76.2,76.5
76.5,76.5
76.64999999999999,76.5
76.2,76.8
76.2,76.35
76.64999999999999,76.35
76.35,76.64999999999999
76.35,76.35
76.5,76.5
76.35,76.5
76.2,76.5
76.64999999999999,76.5
76.2,76.64999999999999
76.35,76.35
76.5,76.2
76.35,76.64999999999999
76.35,76.35
76.2,76.35
76.35,76.5
76.2,76.5
76.5,76.35
76.2,76.5
76.35,76.5
76.2,76.5
76.35,76.64999999999999
76.35,76.35
76.5,76.5
76.5,76.5
76.2,76.5
76.5,76.5
76.2,76.5
76.2,76.2
76.64999999999999,76.5
76.2,76.64999999999999
76.35,76.35
76.2,76.5
76.2,76.5
76.5,76.5
76.5,76.5
76.5,76.64999999999999
76.35,76.64999999999999
76.64999999999999,76.5
76.35,76.64999999999999
76.5,76.35
76.5,76.5
76.2,76.5
76.2,76.5
76.35,76.5
76.2,76.64999999999999
76.2,76.2
76.64999999999999,76.35
76.2,76.64999999999999
76.5,76.35
76.5,76.35
76.2,76.5
76.5,76.35
76.5,76.5
76.2,76.64999999999999
76.2,76.5
76.64999999999999,76.35
76.2,76.8
76.64999999999999,76.35
76.2,76.35
76.35,76.35
76.2,76.35
76.5,76.5
76.2,76.5
76.2,76.35
76.5,76.5
76.5,76.5
76.35,76.35
76.35,76.5
76.2,76.5
76.35,76.5
76.64999999999999,76.35
76.2,76.8
76.2,76.5
76.5,76.5
76.35,76.5
76.2,76.5
76.5,76.35
76.2,76.64999999999999
76.2,76.5
76.8,76.35
76.5,76.64999999999999
76.2,76.5
76.64999999999999,76.35
76.2,76.5
76.2,76.35
76.5,76.5
76.2,76.5
76.2,76.5
76.64999999999999,76.35
76.2,76.8
76.2,76.5
76.64999999999999,76.5
76.35,76.64999999999999
76.2,76.35
76.5,76.2
76.2,76.5
76.2,76.5
76.64999999999999,76.35
76.2,76.8
76.35,76.5
76.35,76.35
76.35,76.64999999999999
76.2,76.35
76.5,76.5
76.35,76.64999999999999
76.2,76.5
76.8,76.5
76.5,76.8
76.2,76.2
76.5,76.35
76.5,76.5
76.2,76.35
76.35,76.35
76.2,76.5
76.2,76.5
76.8,76.35
76.2,76.8
76.35,76.35
76.2,76.35
76.2,76.5
76.2,76.2
76.5,76.35
76.2,76.35
76.2,76.2
76.8,76.35
76.2,76.64999999999999
76.2,76.2
76.35,76.35
76.35,76.35
76.2,76.5
76.5,76.2
76.2,76.5
76.2,76.2
76.64999999999999,76.35
76.35,76.64999999999999
76.35,76.2
76.35,76.5
76.35,76.5
76.05,76.5
76.5,76.5
76.2,76.5
76.2,76.35
76.64999999999999,76.5
76.2,76.64999999999999
76.2,76.2
76.35,76.5
76.2,76.5
76.2,76.35
76.64999999999999,76.5
76.2,76.5
76.2,76.2
76.5,76.5
76.2,76.64999999999999
76.2,76.35
76.64999999999999,76.2
76.2,76.5
76.35,76.35
76.2,76.35
76.2,76.35
76.2,76.35
76.64999999999999,76.35
76.2,76.5
76.2,76.2
76.2,76.35
76.35,76.35
76.2,76.35
76.35,76.2
76.2,76.5
76.2,76.2
