Date: 2024-01-25 14:30:20,
#Pulse Number: 40,
#Voltage Pos: 80,
#Voltage Neg: -80,
Temperature: 23.2,
"#Pulse Length: 75,00",
#Transistor on time: 75,
#Rate: 200,
7.8,4.95
-4.2,-1.7999999999999998
8.25,-1.3499999999999999
52.8,40.199999999999996
67.8,65.85
72.6,73.35
75.0,75.3
76.2,76.05
76.05,76.5
76.2,76.35
76.2,76.35
76.5,76.35
76.2,76.35
76.2,76.2
76.05,76.2
76.2,76.2
76.2,76.2
76.05,76.05
76.05,76.2
76.05,76.2
76.05,75.89999999999999
76.05,76.2
75.89999999999999,75.89999999999999
75.6,76.05
76.2,76.2
76.2,75.89999999999999
76.05,76.2
76.2,76.2
76.05,76.05
76.2,76.2
76.2,76.2
76.2,76.05
76.2,76.5
76.2,76.2
76.2,76.2
76.5,76.2
76.35,76.2
76.35,76.2
76.2,76.2
76.35,76.2
76.64999999999999,76.2
76.2,76.5
76.35,76.2
76.2,76.2
76.64999999999999,76.35
76.2,76.2
76.2,76.2
76.5,76.2
76.8,76.35
76.64999999999999,76.5
76.2,76.2
76.2,76.2
76.2,76.2
76.35,76.35
76.35,76.2
76.2,76.2
76.2,76.35
76.5,76.35
76.35,76.35
76.5,76.2
76.2,76.35
76.35,76.2
76.2,76.5
76.2,76.2
76.5,76.2
76.35,76.5
76.64999999999999,76.35
76.2,76.5
76.35,76.5
76.2,76.2
76.2,76.5
76.35,76.35
76.2,76.2
76.5,76.35
76.2,76.5
76.5,76.2
76.2,76.5
76.5,76.35
76.2,76.2
76.5,76.35
76.5,76.2
76.35,76.35
76.5,76.35
76.5,76.5
76.5,76.35
76.2,76.64999999999999
76.2,76.2
76.2,76.35
76.2,76.35
76.5,76.35
76.35,76.5
76.5,76.35
76.35,76.5
76.5,76.5
76.5,76.5
76.5,76.35
76.2,76.2
76.35,76.2
76.2,76.35
76.5,76.35
76.5,76.2
76.64999999999999,76.35
76.2,76.35
76.64999999999999,76.5
76.35,76.35
76.35,76.2
76.2,76.35
76.64999999999999,76.35
76.2,76.35
76.2,76.35
76.2,76.35
76.64999999999999,76.2
76.2,76.5
76.5,76.5
76.35,76.2
76.35,76.35
76.5,76.35
76.2,76.5
76.5,76.35
76.2,76.5
76.5,76.35
76.5,76.35
76.5,76.2
76.2,76.5
76.35,76.5
76.64999999999999,76.35
76.2,76.5
76.64999999999999,76.35
76.2,76.35
76.2,76.35
76.64999999999999,76.35
76.5,76.2
76.2,76.35
76.64999999999999,76.2
76.5,76.35
76.5,76.35
76.5,76.2
76.35,76.35
76.2,76.2
76.5,76.35
76.35,76.2
76.35,76.35
76.35,76.35
76.64999999999999,76.35
76.2,76.35
76.5,76.35
76.5,76.35
76.35,76.2
76.2,76.35
76.5,76.35
76.35,76.5
76.35,76.5
76.5,76.35
76.2,76.5
76.2,76.35
76.8,76.35
76.2,76.35
76.5,76.35
76.35,76.35
76.2,76.2
76.2,76.2
76.5,76.35
76.2,76.35
76.5,76.2
76.35,76.5
76.2,76.2
76.64999999999999,76.35
76.2,76.35
76.35,76.2
76.64999999999999,76.35
76.35,76.35
76.2,76.35
76.5,76.2
76.2,76.2
76.2,76.5
76.5,76.35
76.2,76.35
76.35,76.2
76.5,76.2
76.64999999999999,76.35
76.2,76.35
76.5,76.35
76.5,76.35
76.5,76.35
76.2,76.35
76.64999999999999,76.5
76.35,76.35
76.5,76.35
76.35,76.5
76.2,76.5
76.64999999999999,76.35
76.5,76.2
76.5,76.2
76.35,76.5
76.2,76.64999999999999
76.35,76.35
76.35,76.5
76.5,76.5
76.2,76.35
76.2,76.5
76.5,76.5
76.64999999999999,76.35
76.64999999999999,76.5
76.5,76.5
76.35,76.35
76.5,76.35
76.35,76.5
76.2,76.35
76.5,76.35
76.5,76.35
76.5,76.2
76.5,76.64999999999999
76.64999999999999,76.2
76.2,76.2
76.35,76.5
76.2,76.35
76.35,76.35
76.2,76.2
76.35,76.35
76.35,76.2
76.35,76.64999999999999
76.2,76.64999999999999
76.35,76.2
76.35,76.35
76.35,76.35
76.2,76.35
76.5,76.35
76.5,76.5
76.5,76.5
76.64999999999999,76.5
76.2,76.35
76.35,76.2
76.35,76.2
76.2,76.35
76.35,76.2
76.35,76.35
76.2,76.35
76.5,76.5
76.35,76.5
76.2,76.2
76.2,76.35
76.35,76.35
76.2,76.2
76.35,76.35
76.35,76.2
76.35,76.35
76.5,76.2
76.2,76.64999999999999
76.64999999999999,76.35
76.2,76.2
76.35,76.35
76.2,76.2
76.2,76.35
76.35,76.35
76.5,76.35
76.64999999999999,76.2
76.35,76.5
76.5,76.35
76.2,76.2
76.5,76.2
