# Date: 2023-12-21 13-34-38
# Pulse Number: 13
# Voltage Pos: 60,00
# Voltage Neg: -60,00
# Temperature: 22.4
# Pulse Lenght: 75,00
# Transistor On-Time: 75
# Rate: 200
6.24309,0.335693
7.46125,0.704956
-1.06589,1.47705
-4.1113,1.24207
9.59304,12.9242
18.4247,17.4896
39.2858,22.3236
41.5698,24.7406
52.3811,23.0621
49.4879,23.9349
56.7969,18.866
53.9038,15.3412
56.7969,13.2263
54.3606,9.97009
59.3855,8.12378
54.3606,5.60608
59.8423,4.63257
56.3401,2.45056
60.2991,2.11487
56.6446,0.302124
60.1469,0.637817
56.7969,-0.772095
60.2991,-0.100708
56.7969,-1.17493
60.2991,-0.0335693
56.6446,-1.2085
60.2991,0
54.3606,-1.07422
60.1469,0.234985
56.6446,-0.772095
60.1469,0.671387
56.6446,-0.772095
60.2991,0.671387
56.3401,-0.772095
60.1469,0.772095
54.3606,-0.772095
59.9946,0.939941
54.3606,0.0335693
59.8423,0.872803
54.3606,-0.100708
60.1469,0.872803
54.3606,-0.100708
59.8423,0.939941
56.3401,-0.772095
59.8423,0.738525
54.3606,-0.772095
59.8423,0.939941
54.3606,-0.100708
59.8423,0.906372
54.3606,-0.772095
59.9946,0.839233
54.3606,-0.772095
59.69,0.604248
54.3606,-0.772095
59.69,0.839233
54.3606,-0.772095
59.8423,0.704956
54.3606,-0.772095
59.8423,0.839233
54.3606,-0.772095
59.8423,0.637817
54.3606,-0.772095
59.9946,0.637817
54.3606,-0.772095
59.69,0.704956
54.3606,-0.772095
59.8423,0.637817
56.6446,-0.772095
59.8423,0.570679
54.3606,-0.772095
59.8423,0.637817
54.3606,-0.772095
59.8423,0.537109
54.3606,-0.772095
59.8423,0.604248
54.3606,-0.772095
60.1469,0.637817
54.3606,-0.772095
59.8423,0.436401
54.3606,-0.772095
59.8423,0.570679
56.7969,-0.772095
60.1469,0.570679
54.3606,-0.772095
59.9946,0.671387
56.6446,-0.772095
59.9946,0.436401
54.3606,-0.772095
59.8423,0.604248
54.3606,-0.772095
60.1469,0.469971
54.3606,-0.772095
59.9946,0.671387
54.3606,-0.772095
60.1469,0.570679
54.3606,-0.772095
59.9946,0.604248
56.4924,-0.772095
59.9946,0.436401
56.6446,-0.772095
60.1469,0.704956
54.3606,-0.772095
60.1469,0.469971
56.6446,-0.772095
59.8423,0.436401
54.3606,-0.772095
59.8423,0.50354
56.6446,-0.772095
59.9946,0.436401
54.3606,-0.772095
59.9946,0.50354
56.6446,-0.772095
59.9946,0.570679
54.3606,-0.772095
59.8423,0.436401
54.3606,-0.772095
59.9946,0.436401
56.6446,-0.772095
60.1469,0.570679
54.3606,-0.772095
59.8423,0.50354
54.3606,-0.772095
59.9946,0.436401
54.3606,-0.772095
59.8423,0.436401
54.3606,-0.772095
59.9946,0.469971
54.3606,-0.772095
59.8423,0.436401
54.3606,-0.772095
60.1469,0.570679
54.3606,-0.772095
59.8423,0.402832
56.4924,-0.772095
59.9946,0.402832
56.6446,-0.772095
60.1469,0.50354
56.3401,-0.772095
59.8423,0.436401
54.3606,-0.772095
59.8423,0.402832
56.1878,-0.772095
59.8423,0.436401
56.6446,-0.772095
59.9946,0.436401
54.3606,-0.772095
59.8423,0.402832
54.3606,-0.772095
60.1469,0.537109
54.3606,-0.772095
60.1469,0.436401
56.6446,-0.772095
59.9946,0.402832
56.7969,-0.772095
60.2991,0.537109
54.3606,-0.772095
60.1469,0.436401
56.6446,-0.772095
59.9946,0.436401
54.3606,-0.772095
59.9946,0.436401
56.4924,-0.772095
59.9946,0.402832
54.3606,-0.772095
59.9946,0.436401
56.6446,-0.772095
59.9946,0.469971
54.3606,-0.772095
60.1469,0.402832
56.6446,-0.772095
59.9946,0.402832
56.7969,-0.772095
60.1469,0.570679
54.3606,-0.772095
60.1469,0.369263
56.6446,-0.772095
59.9946,0.402832
56.1878,-0.772095
59.8423,0.436401
54.3606,-0.772095
